epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
28,3652.73,0.83974,1.16972,1.32803,0.57564,0.4119,0.4387,0.31263,0.93568,1.49952,1.28226,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,5418.22,0.84126,1.15003,1.32547,0.56641,0.41055,0.42841,0.30204,0.95255,1.5786,1.29532,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,7189.59,0.84015,1.14601,1.32378,0.57295,0.40839,0.43975,0.31237,0.94213,1.56489,1.28763,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,8953.45,0.85188,1.18371,1.33133,0.57054,0.40641,0.441,0.31257,0.9564,1.57631,1.2992,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,10752.2,0.87896,1.25169,1.35472,0.56496,0.40801,0.44264,0.31582,0.93708,1.50442,1.28445,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,12535.8,0.86586,1.22392,1.34393,0.57334,0.40946,0.45236,0.32503,0.91939,1.4502,1.27291,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,14331,0.8707,1.21897,1.34938,0.57623,0.41501,0.45306,0.32611,0.9108,1.3912,1.26433,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,16111.2,0.86762,1.21566,1.34533,0.58746,0.40345,0.45333,0.326,0.90458,1.40973,1.25614,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1830.71,0.78612,1.0219,1.27818,0.58934,0.40613,0.45725,0.32803,0.90173,1.42691,1.25175,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3638.94,0.79137,1.02169,1.28464,0.58484,0.41316,0.46018,0.32869,0.91029,1.44143,1.25846,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5471.77,0.79125,1.00623,1.28079,0.58917,0.41531,0.46122,0.32867,0.91317,1.45295,1.26096,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7265.63,0.792,1.00315,1.28123,0.58411,0.42516,0.45914,0.32841,0.91083,1.45332,1.25862,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,9046.5,0.79613,1.01505,1.28331,0.58219,0.42297,0.46099,0.33105,0.91256,1.46233,1.25933,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,10981,0.81437,1.05852,1.29988,0.5778,0.42232,0.46305,0.33301,0.91147,1.4644,1.26,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,12810.5,0.81134,1.05708,1.29542,0.58366,0.42276,0.46933,0.33736,0.9102,1.45796,1.2602,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,14636.9,0.82239,1.07557,1.30622,0.58849,0.42265,0.47223,0.33946,0.91471,1.44816,1.26359,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,16453.1,0.83499,1.10768,1.31424,0.58686,0.42318,0.47203,0.33932,0.9126,1.4533,1.26089,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,18268.7,0.83547,1.12344,1.316,0.59248,0.42104,0.47332,0.34022,0.90961,1.44553,1.25794,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,20085,0.831,1.10696,1.31176,0.60361,0.41679,0.47246,0.34,0.90574,1.43607,1.25415,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,21902.1,0.83085,1.08991,1.31269,0.60411,0.41659,0.47529,0.3426,0.90022,1.42154,1.24805,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,23728.8,0.82057,1.07957,1.30431,0.59752,0.42558,0.47752,0.34489,0.89586,1.4126,1.24408,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,25550.3,0.82057,1.08118,1.30544,0.61047,0.41862,0.48065,0.34679,0.89324,1.41178,1.24137,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,27435.6,0.81522,1.06186,1.2994,0.61316,0.42067,0.48234,0.34814,0.89317,1.40736,1.24077,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,29427.4,0.81178,1.04813,1.29564,0.61621,0.4202,0.48227,0.34788,0.89237,1.40661,1.24,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,31277.8,0.80211,1.02795,1.28886,0.61384,0.41891,0.48276,0.34884,0.88972,1.40345,1.23813,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,33142.7,0.80315,1.02695,1.29163,0.61689,0.42067,0.48636,0.35222,0.88618,1.38751,1.23539,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,34962.2,0.80217,1.02825,1.29095,0.61148,0.42395,0.48777,0.35311,0.88273,1.37819,1.23279,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,36777.6,0.80667,1.02861,1.29142,0.60646,0.42545,0.48897,0.35487,0.87978,1.36958,1.22996,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,38594.9,0.79797,1.02086,1.28462,0.60347,0.43063,0.49017,0.35526,0.87742,1.36293,1.22734,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,1765.05,0.71695,0.82763,1.22154,0.60602,0.42903,0.49028,0.35537,0.87683,1.36368,1.22694,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,3617.29,0.72514,0.84336,1.22739,0.60548,0.43191,0.49095,0.35609,0.87615,1.36431,1.22637,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5616.94,0.72747,0.83267,1.22839,0.61083,0.42953,0.49206,0.35645,0.87679,1.36752,1.2268,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,7607.29,0.72893,0.83384,1.23025,0.61074,0.43039,0.49174,0.35618,0.87732,1.37027,1.22742,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,9520.86,0.73204,0.83831,1.23019,0.60977,0.43098,0.49249,0.35662,0.87797,1.37258,1.2277,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,11491.3,0.74224,0.8606,1.23817,0.61072,0.43156,0.49291,0.3568,0.87816,1.37294,1.22743,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,13416.6,0.73797,0.85539,1.2361,0.61202,0.43201,0.49324,0.35688,0.87783,1.37144,1.227,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,15370.9,0.7471,0.86965,1.24334,0.61206,0.43343,0.49382,0.35734,0.87826,1.3699,1.2275,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,17375.8,0.75638,0.89761,1.2513,0.61064,0.43353,0.49334,0.35665,0.87854,1.36989,1.22763,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,19323.2,0.75976,0.90729,1.25408,0.60808,0.43574,0.49396,0.35731,0.87827,1.3721,1.22696,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,21340.3,0.75475,0.90005,1.24821,0.60932,0.43487,0.49482,0.35788,0.87816,1.37326,1.22683,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,23303.8,0.75741,0.89298,1.25067,0.6114,0.434,0.49471,0.35792,0.87864,1.37394,1.22685,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,25269.5,0.75043,0.89192,1.24449,0.61267,0.43304,0.49549,0.35871,0.87898,1.37525,1.22712,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,27206.1,0.75503,0.89236,1.24902,0.61223,0.4341,0.49573,0.35916,0.87848,1.37661,1.22657,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,29229.4,0.74964,0.88662,1.24601,0.61197,0.43377,0.4967,0.35962,0.87754,1.37808,1.22519,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,31209.2,0.75015,0.887,1.24255,0.61068,0.4338,0.49622,0.35883,0.87692,1.37984,1.22463,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,33438.3,0.74291,0.87437,1.23859,0.61099,0.43366,0.49645,0.35921,0.87686,1.38011,1.22455,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,35349.1,0.74751,0.87812,1.24451,0.61261,0.43346,0.49672,0.35938,0.87622,1.37762,1.22418,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,37383.7,0.75042,0.8797,1.24406,0.61218,0.43358,0.49687,0.35946,0.87535,1.37496,1.2239,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,39334.1,0.75614,0.89043,1.24562,0.6121,0.435,0.49746,0.35991,0.87426,1.37339,1.22287,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,41255.7,0.7447,0.88113,1.2433,0.6098,0.43535,0.49789,0.36018,0.87384,1.3717,1.22257,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,43242.2,0.74875,0.8757,1.24241,0.61378,0.43966,0.49867,0.36054,0.87319,1.37099,1.22183,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,45217.3,0.74081,0.8642,1.2343,0.61452,0.43878,0.49878,0.36095,0.87224,1.37037,1.22092,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,47211.3,0.7436,0.85386,1.23566,0.61405,0.43837,0.49891,0.36125,0.87136,1.37077,1.22011,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,49173.1,0.74133,0.86262,1.23562,0.61243,0.43891,0.49879,0.36134,0.87071,1.36936,1.21957,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,51108,0.73662,0.84412,1.23251,0.61137,0.44049,0.49904,0.3614,0.87003,1.36851,1.2187,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,53061.9,0.73635,0.82912,1.23156,0.61068,0.44169,0.49945,0.36192,0.8695,1.36792,1.21814,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,54974.1,0.72897,0.82401,1.22719,0.61171,0.44127,0.49966,0.36238,0.86923,1.36619,1.21771,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,56953.5,0.72579,0.81245,1.21947,0.61317,0.43982,0.49991,0.36272,0.86866,1.36477,1.217,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,58871.5,0.71921,0.81436,1.21877,0.61361,0.43517,0.50091,0.36352,0.86766,1.364,1.21599,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,60776,0.72283,0.81017,1.21844,0.61447,0.4349,0.50118,0.36375,0.86688,1.36324,1.21524,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,62718.6,0.72014,0.80224,1.21529,0.6158,0.43349,0.50126,0.3639,0.86649,1.36275,1.21516,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,64632.2,0.71329,0.79289,1.20942,0.61884,0.43109,0.50151,0.3646,0.86542,1.36342,1.21416,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,66595.8,0.70917,0.78018,1.20795,0.61859,0.4325,0.5017,0.36495,0.86442,1.36265,1.21286,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,68546.6,0.54264,0.51093,1.09048,0.61808,0.43339,0.50164,0.36494,0.86402,1.36637,1.21288,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,70454.8,0.53292,0.49523,1.08051,0.61873,0.43347,0.50133,0.36499,0.86304,1.37077,1.2121,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,72450.2,0.52774,0.4776,1.07761,0.615,0.43432,0.50172,0.36594,0.8625,1.37503,1.21184,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,74413.8,0.52155,0.46845,1.0738,0.61157,0.43547,0.50109,0.36596,0.86205,1.37915,1.2116,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,76424.4,0.51296,0.45366,1.06361,0.61405,0.43201,0.50047,0.36597,0.86147,1.38281,1.21136,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,78405.9,0.51001,0.44619,1.0616,0.61499,0.42433,0.50164,0.36748,0.86109,1.38682,1.21111,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,80422.6,0.50447,0.43412,1.05568,0.61529,0.42177,0.50129,0.36723,0.86094,1.39082,1.21133,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,82469,0.50118,0.42453,1.05224,0.61575,0.42092,0.50121,0.36726,0.86035,1.39394,1.21098,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,84498,0.49544,0.41882,1.05127,0.61561,0.41915,0.50033,0.36726,0.8599,1.39877,1.21098,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,86505.3,0.49156,0.41154,1.04688,0.61735,0.41806,0.50014,0.36743,0.8595,1.40256,1.21079,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
