epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2671.34,1.11536,2.51496,1.52621,0.38033,0.2967,0.29128,0.19391,1.08441,1.80021,1.4121,0.00999943,0.00333314,0.00999943,0.00333314,0.00999943,0.00333314,0.00999943,0.00333314
2,4874.2,1.18022,2.25931,1.5959,0.34606,0.26946,0.22984,0.14444,1.26203,2.15576,1.59273,0.0198014,0.00660048,0.0198014,0.00660048,0.0198014,0.00660048,0.0198014,0.00660048
3,1742.73,1.25171,2.39074,1.66559,0.18518,0.18861,0.12865,0.07192,1.49304,2.37526,1.75294,0.0294054,0.00980181,0.0294054,0.00980181,0.0294054,0.00980181,0.0294054,0.00980181
4,3470.5,1.27056,2.41977,1.68781,0.28231,0.21539,0.16188,0.09121,1.42667,2.46727,1.74083,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,5197.47,1.20822,2.23678,1.63951,0.37822,0.23677,0.23112,0.15006,1.27797,2.23748,1.59952,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,6916.31,1.15832,2.12122,1.59932,0.4268,0.27024,0.26109,0.16818,1.17567,1.97627,1.51808,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,8636.25,1.11938,1.99626,1.56398,0.41961,0.30194,0.28034,0.17469,1.21931,2.0399,1.55524,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,10358.9,1.09009,1.91162,1.54378,0.42479,0.29311,0.28299,0.18691,1.14236,2.03442,1.47828,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,12081,1.06071,1.82477,1.51584,0.43312,0.30473,0.29596,0.1928,1.14523,1.89907,1.47694,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,13804.7,1.04867,1.77995,1.50889,0.4558,0.31136,0.30974,0.20777,1.09711,1.83844,1.4361,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,15590.6,1.03627,1.73865,1.49678,0.48277,0.31844,0.32814,0.21599,1.08931,1.87144,1.43261,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,17436.4,1.01196,1.6812,1.47472,0.50124,0.33076,0.3327,0.2278,1.07722,1.80708,1.418,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,19208.2,1.00119,1.64975,1.4675,0.5097,0.35377,0.36469,0.25297,1.07005,1.68,1.39209,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,20953.6,0.99465,1.61024,1.46343,0.52084,0.36233,0.37512,0.25617,1.0327,1.62744,1.37945,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,22772.8,0.97609,1.57907,1.44419,0.53741,0.35982,0.3838,0.2712,0.98929,1.64721,1.34706,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,24536.8,0.97326,1.55499,1.44063,0.51591,0.34166,0.36083,0.24268,1.05109,1.72475,1.38206,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,26253.9,0.9572,1.51626,1.42788,0.49764,0.35779,0.36568,0.2486,1.02847,1.65952,1.3616,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,27971.1,0.95621,1.49984,1.42673,0.52242,0.36844,0.39652,0.27594,0.97942,1.57737,1.32784,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,29692.2,0.93608,1.45816,1.41004,0.54063,0.36162,0.40935,0.28202,0.99456,1.60957,1.33302,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,31407.7,0.93423,1.44101,1.40751,0.53344,0.38187,0.41021,0.28634,0.97646,1.60131,1.32025,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,33136.4,0.93178,1.42898,1.40358,0.5313,0.37214,0.39263,0.27644,0.99729,1.59343,1.32785,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1896.35,0.9083,1.39319,1.38788,0.55977,0.37759,0.42277,0.29967,0.96965,1.52879,1.31594,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3675.35,0.91307,1.37328,1.39209,0.55649,0.39577,0.42688,0.30065,0.96173,1.5702,1.30796,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,5450.11,0.90996,1.3656,1.38592,0.55416,0.39472,0.40848,0.28515,0.97124,1.61973,1.3096,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,7235.09,0.90861,1.35216,1.38434,0.55681,0.40272,0.41258,0.29011,0.93689,1.55514,1.28257,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,9011.4,0.89905,1.32275,1.37198,0.55675,0.40778,0.42598,0.30304,0.93829,1.54203,1.29041,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1870.74,0.83508,1.1758,1.32313,0.56536,0.39951,0.44325,0.31947,0.9332,1.49852,1.28509,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
